angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[852, 188, 284, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[853, 184, 285, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[853, 184, 284, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[854, 184, 283, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.02,"[818, 186, 295, 371]",0.0,0.05,0.0,0.79,0.13,0.0
0.02,"[819, 186, 294, 371]",0.0,0.04,0.0,0.83,0.1,0.0
0.01,"[819, 185, 295, 372]",0.0,0.07,0.02,0.67,0.16,0.08
0.02,"[819, 185, 294, 373]",0.0,0.05,0.0,0.81,0.12,0.01
0.01,"[819, 186, 295, 371]",0.0,0.04,0.0,0.82,0.12,0.0
0.03,"[818, 187, 293, 372]",0.0,0.12,0.01,0.41,0.24,0.18
0.02,"[818, 187, 292, 372]",0.0,0.1,0.0,0.6,0.27,0.02
0.02,"[819, 188, 289, 372]",0.0,0.1,0.0,0.61,0.25,0.02
0.02,"[821, 201, 291, 361]",0.0,0.06,0.0,0.72,0.19,0.0
0.02,"[819, 187, 289, 375]",0.0,0.09,0.0,0.65,0.23,0.01
0.09,"[823, 202, 289, 362]",0.0,0.15,0.0,0.51,0.24,0.01
0.08,"[824, 202, 288, 362]",0.0,0.14,0.0,0.53,0.23,0.01
0.04,"[819, 185, 293, 377]",0.0,0.17,0.0,0.25,0.41,0.13
0.04,"[819, 184, 293, 378]",0.0,0.18,0.0,0.22,0.48,0.08
0.04,"[819, 185, 293, 377]",0.0,0.17,0.0,0.28,0.4,0.12
0.08,"[818, 185, 294, 376]",0.0,0.12,0.0,0.28,0.5,0.03
0.08,"[818, 185, 294, 376]",0.0,0.13,0.0,0.27,0.5,0.03
0.09,"[818, 185, 295, 378]",0.0,0.1,0.0,0.21,0.56,0.03
0.06,"[818, 185, 295, 377]",0.0,0.15,0.0,0.25,0.29,0.26
0.05,"[818, 187, 294, 374]",0.0,0.13,0.0,0.24,0.3,0.27
0.03,"[819, 182, 301, 383]",0.0,0.21,0.0,0.27,0.24,0.24
0.08,"[819, 181, 300, 383]",0.0,0.07,0.0,0.43,0.37,0.05
0.07,"[821, 188, 292, 373]",0.0,0.19,0.0,0.16,0.52,0.06
0.1,"[819, 186, 295, 374]",0.0,0.12,0.0,0.28,0.43,0.07
0.12,"[819, 187, 294, 373]",0.0,0.13,0.0,0.27,0.4,0.09
0.09,"[820, 187, 293, 374]",0.0,0.18,0.0,0.15,0.51,0.07
0.09,"[820, 187, 293, 374]",0.0,0.2,0.0,0.15,0.49,0.07
0.08,"[820, 186, 294, 373]",0.0,0.16,0.0,0.38,0.31,0.07
0.09,"[819, 186, 295, 373]",0.0,0.16,0.0,0.36,0.3,0.08
0.09,"[819, 186, 295, 373]",0.0,0.16,0.0,0.36,0.3,0.08
0.08,"[821, 185, 294, 373]",0.0,0.14,0.0,0.25,0.33,0.21
0.07,"[820, 185, 295, 375]",0.0,0.15,0.0,0.22,0.29,0.27
